ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,FACILITYADDRESSID,FACILITYADDRESSTYPE,FACILITYID,FACILITYSTREETADDRESS1,FACILITYSTREETADDRESS2,FACILITYSTREETADDRESS3,POSTALCODE
"USA","OR","Lakeview","10241","","201783","Lakeview District Office"," 1301 South G Street"," ","97630"
"USA","AZ","Yuma","10242","","201883","Yuma Field Office","2555 Gila Ridge Rd.","","85365"
"USA","AZ","Yuma","10243","","201887","Yuma Field Office","2555 Gila Ridge Rd","","85365"
"USA","AZ","Kingman","10245","","202052","Kingman Field Office","2755 Mission Boulevard","","86401"
"USA","AZ","Safford","10246","","202054","Safford Field Office","711 14th Avenue","","85546"
"USA","AZ","Phoenix","10247","","202055","Phoenix Field Office","21605 N. 7th Avenue","","85027"
"USA","AZ","Sierra Vista","10248","","202057","San Pedro Project Office","1763 Paseo San Luis","","85635"
"USA","ID","Challis","10258","","202090","Challis Field Office","1151 Blue Mountain Road","","83226"
"USA","ID","Challis","10260","","202093","Challis Field Office","1151 Blue Mountain Road","","83226"
"USA","ID","Salmon","10261","","202095","Salmon Field Office","1206 South Challis Street","","83467"
"USA","ID","Salmon","10263","","202097","Salmon Field Office ","1206 South Challis Street","","83467"
"USA","ID","Salmon","10264","","202100","Salmon Field Office ","1206 South Challis Street","","83467"
"USA","NV","Reno","10266","","202109","National BLM Wild Horse & Burro (WH&B) Program"," Nevada State Office","P.O. Box 12000","89520"
"USA","NV","Las Vegas","10267","","202118","Ely District Office","702 North Industrial Way, HC 33 Box 33500 ","","89301"
"USA","NV","Ely","10268","","202121","Ely Field Office","702 North Industrial Way, HC 33 Box 33500 ","","89301"
"USA","NV","Ely","10269","","202122","Ely District Office","702 North Industrial Way, HC 33 Box 33500 ","","89301"
"USA","NV","Ely","10270","","202123","Ely District Office","702 North Industrial Way, HC 33 Box 33500 ","","89301"
"USA","NV","Elko","10271","","202124","Elko District Office","3900 E. Idaho Street","","89801"
"USA","NM","Glenwood,","10272","","202126","Glenwood Ranger District-Gila National","PO Box 8","","88039"
"USA","UT","Moab","10273","","202130","Moab Field Office","82 East Dogwood","","84532"
"USA","UT","Hanksville","10274","","202134","Henry Mountains Field Station"," (Hanksville Office)","380 South 100 West","84734"
"USA","UT","Hanksville","10275","","202136","Henry Mountains Field Station"," (Hanksville Office)","380 South 100 West","84734"
"USA","UT","Hanksville","10276","","202137","Henry Mountains Field Station","(Hanksville Office)","380 South 100 West","84734"
"USA","UT","Vernal","10278","","202142","Vernal Field Office","170 South 500 East","","84078"
"USA","UT","Moab","10284","","202157","Moab Field Office","82 East Dogwood","","84532"
"USA","UT","St. George","10287","","202162","St. George Field Office","345 E. Riverside Drive","","84790"
"USA","UT","Kanab","10288","","202186","Kanab Field Office","318 North 100 East","","84741"
