MEMBERTOURID,TOURID,TOURNAME
"206425","3","FDR Home & Mus 1 ticket (up to 25), 2 ticket (25-50)"
"206426","3","FDR Home & Mus 1 ticket (up to 25), 2 ticket (25-50)"
"351718","41","Early Tour & Full Moon Package"
"352968","41","Early Tour & Full Moon Package"
"317399","46","USS Arizona Memorial with Narrated Tour"
"317499","46","USS Arizona Memorial with Narrated Tour"
"317399","47","Passport to Pearl Harbor"
"317500","47","Passport to Pearl Harbor"
"206088","53","Combo Tour Individual"
"206329","53","Combo Tour Individual"
"206331","53","Combo Tour Individual"
"206362","85","Combo Tour 1 ticket (up to 25), 2 ticket (25-50)"
"206425","85","Combo Tour 1 ticket (up to 25), 2 ticket (25-50)"
"206426","85","Combo Tour 1 ticket (up to 25), 2 ticket (25-50)"
"206428","85","Combo Tour 1 ticket (up to 25), 2 ticket (25-50)"
"305359","132","House-Underground Combo Tour"
"305509","132","House-Underground Combo Tour"
"416070","197","Gothic Palace - Accessible"
"416120","197","Gothic Palace - Accessible"
