PERMITENTRANCEID,PERMITENTRANCEZONEID,ZONE
"564","16226","Namakan"
"155","19316","Mt Whitney"
"156","19317","Mt Whitney"
"157","19318","Mt Whitney"
"158","19319","Mt Whitney"
"159","19320","Mt Whitney"
"160","19321","Mt Whitney"
"167","19322","Mt Whitney"
"168","19323","Mt Whitney"
"169","19324","Mt Whitney"
"170","19325","Mt Whitney"
"166","19326","Mt. Whitney Trail"
"171","19327","Mt Whitney"
"172","19328","Mt Whitney"
"173","19329","Mt Whitney"
"174","19330","Mt Whitney"
"175","19331","Mt Whitney"
"176","19332","Mt Whitney"
"419","19333","Mt Whitney"
"420","19334","Mt Whitney"
"421","19335","Mt Whitney"
"422","19336","Mt Whitney"
"423","19337","Mt Whitney"
"688","19338","Unknown"
"413","19339","Mt Whitney"
"414","19340","Mt Whitney"
"415","19341","Mt Whitney"
"416","19342","Mt Whitney"
"417","19343","Mt Whitney"
"418","19344","Mt Whitney"
"407","19345","Mt Whitney"
"408","19346","Mt Whitney"
"409","19347","Mt Whitney"
"410","19348","Mt Whitney"
"411","19349","Mt Whitney"
"412","19350","Mt Whitney"
"213","19351","Mt Whitney"
"214","19352","Mt Whitney"
"215","19353","Mt Whitney"
"216","19354","Mt Whitney"
"217","19355","Mt Whitney"
"406","19356","Whitney Day Use"
"207","19357","Mt Whitney"
"208","19358","Mt Whitney"
"209","19359","Mt Whitney"
"210","19360","Mt Whitney"
"211","19361","Mt Whitney"
"212","19362","Mt Whitney"
"201","19363","Mt Whitney"
"202","19364","Mt Whitney"
"203","19365","Mt Whitney"
"204","19366","Mt Whitney"
"205","19367","Mt Whitney"
"206","19368","Mt Whitney"
"195","19369","Mt Whitney"
"196","19370","Mt Whitney"
"197","19371","Mt Whitney"
"198","19372","Mt Whitney"
"199","19373","Mt Whitney"
"200","19374","Mt Whitney"
"189","19375","Mt Whitney"
"190","19376","Mt Whitney"
"191","19377","Mt Whitney"
"192","19378","Mt Whitney"
"193","19379","Mt Whitney"
"194","19380","Mt Whitney"
"183","19381","Mt Whitney"
"184","19382","Mt Whitney"
"185","19383","Mt Whitney"
"186","19384","Mt Whitney"
"187","19385","Mt Whitney"
"188","19386","Mt Whitney"
"177","19387","Mt Whitney"
"178","19388","Mt Whitney"
"179","19389","Mt Whitney"
"180","19390","Mt Whitney"
"181","19391","Mt Whitney"
"182","19392","Mt Whitney"
"290","19393","Camper Flat"
"291","19394","Genevieve"
"292","19395","Grouse Lakes"
"293","19396","Phipps"
"294","19397","Rockbound Lake"
"295","19398","Brown Mountain"
"350","19399","Tamarack"
"351","19400","Unknown"
"352","19401","Unknown"
"344","19402","Susie"
"345","19403","Grass"
"346","19404","Hemlock"
"347","19405","Smith"
"348","19406","Waca"
"349","19407","American"
"338","19408","Half Moon"
"339","19409","Gilmore"
"340","19410","Cathedral"
"341","19411","Tyler"
"342","19412","Twin"
"343","19413","Aloha"
"332","19414","Lower Velmas"
"333","19415","Lois"
"334","19416","Eagle"
"335","19417","Maud"
"336","19418","Rockbound Pass"
"337","19419","Mt. Price"
"326","19420","Red Peak"
"327","19421","China Flat"
"328","19422","Dicks"
"329","19423","Kalmia"
"330","19424","Dicks Peak"
"331","19425","Middle Velma"
"320","19426","Unknown"
"321","19427","Unknown"
"322","19428","Unknown"
"323","19429","Unknown"
"324","19430","Unknown"
"325","19431","Lawrence"
"314","19432","Unknown"
"315","19433","Unknown"
"316","19434","Ralston"
"317","19435","Tells"
"318","19436","Unknown"
"319","19437","Unknown"
"308","19438","Lakes #3 and #5"
"309","19439","Unknown"
"310","19440","Unknown"
"311","19441","General Creek"
"312","19442","Rubicon "
