CREATEDDATE,DISTRICT,FACILITYID,LASTUPDATEDDATE,LATITUDE,LONGITUDE,PERMITENTRANCEACCESSIBLE,PERMITENTRANCEDESCRIPTION,PERMITENTRANCEID,PERMITENTRANCENAME,PERMITENTRANCETYPE,TOWN
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0625","-90.4394444444","No","Method of travel is paddle. Access is from West Bearskin Lake with a 70-rod portage to Duncan Lake and an 80-rod portage to Rose.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","1","Duncan Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","LaCroix District","233396","2016-03-03 06:27:58","47.9144","-92.322","No","Method of travel is day use motor. 25 h.p. motor maximum. Access is from Lake Vermilion via a 180-rod portage suitable for portage wheels. Commercial portage service available. For more information, please call the LaCroix Ranger District at in Cook 218-666-0020.","2","Trout Lake (dm)","Entry Point","Cook"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","47.9533333333","-91.7207898333","No","Method of travel is day use motor. 25 h.p. motor limit. Access is a boat landing at Fall Lake. Valid on Fall, Newton, and Basswood Lakes (except the paddle only area of Basswood).  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","3","Fall Lake and Beyond (dm,dc)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","47.91087","-90.6544498333","No","Method of travel is hiking. Trailhead is on Forest Road 326, one third of a mile south of the Brule Lake parking lot. Park at Brule Lake. Total trail distance 7 miles.  Connects with Brule Lake Trail; access to Eagle Mountain.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","4","Brule Lake Trail (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","47.955727","-91.5622198333","No","Method of travel is paddle. Access the North Kawishiwi River through Ojibway Lake and Triangle Lake utilizing two portages.  For more information,  contact the Kawishiwi Ranger Station at 218-365-7561.","5","North Kawishiwi River (op)","Entry Point","Ely"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","47.977333","-91.4322898333","No","Method of travel is paddle or motor. Motor use OR possession requires an overnight motor permit (25 h.p. maximum). Access is a boat landing or canoe launch at Snowbank Lake. For more information, contact the Kawishiwi Ranger Station at 218-365-7561.","6","Snowbank Lake (op,om)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0541666667","-90.0538888889","No","Method of travel is paddle.  Access from Little John, down the Royal River with an 88-rod and a 160-rod portage to get to North Fowl Lake.  Border lake between U.S. and Canada. For more information, please call the Gunflint Ranger Station at 218-387-1750.","7","North Fowl Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","47.9547","-90.4423","No","Method of travel is paddle. Access is a 97-rod portage from the parking area.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","8","Ram Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","48.0918118333","-91.9907198333","No","Method of travel is paddle. Access LaPond Lake with a 160 rod portage from Big Lake. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561","9","From Big Lake (op)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.077964","-90.49696","No","Method of travel is hiking only (if paddling, use entry #60). 4 mile hike. No parking available. For more information, please call the Gunflint Ranger Station at 218-387-1750.","10","Partridge Lake Trail (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","47.96824","-91.463684","No","Method of travel is hiking. Loop option includes 27 miles of the Snowbank Trail, plus the 46 mile Kekekabic Trail that continues to the east side trail head. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","11","Kekekabic Trail (west) /Snowbank (oh)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0715988333","-90.383813","No","Method of travel is hiking. 53 mile hiking trail. Shorter options available For more information, please call the Gunflint Ranger Station in Grand Marais at (218)387-1750.","12","Border Route Trail (center) (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Tofte District","233396","2016-03-03 06:27:58","47.92566","-90.6449318333","No","Method of travel is paddle. The access is a boat landing at Brule Lake. Large lake with many campsites.  For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","13","Brule Lake (op)","Entry Point","Tofte"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.120834","-90.84028","No","Method of travel is paddle. Access from the canoe landing at Larch Creek. For more information, please call the Gunflint Ranger Station at 218-387-1750.","14","Larch Creek (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Tofte District","233396","2016-03-03 06:27:58","47.79111","-91.3191698333","No","Method of travel is paddle. Island River has two small portages, which lead to the Isabella River. For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","15","Island River (op)","Entry Point","Isabella"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.1820548333","-90.886116","No","Method of travel is day use motor. 25 h.p. motor limit. No motors allowed (use or possession) west of American Point. Access to Canada. For more information, please contact the Gunflint Ranger Station in Grand Marais at 218-387-1750.","16","Saganaga Lake (dm,dc)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0701972222","-90.3752","No","Method of travel is paddle or motor. 10 h.p. maximum.  Access is boat launch on Clearwater Lake.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","17","Clearwater Lake (op,om)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0847222222","-90.62","No","Method of travel is hiking. 53 mile hiking trail. Shorter options available. For more information, please call the Gunflint Ranger Station in Grand Marais at (218)387-1750.","18","Border Route Trail (west) (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","47.9452798333","-90.4197198333","No","Method of travel is paddle. Access is a 72-rod portage from small parking area into Bower Trout.  For more information, please call the Gunflint Ranger Station in Grand Marais at 218-387-1750.","19","Bower Trout Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0668378333","-90.3999708333","No","Method of travel is paddle. Access is from West Bearskin Lake with a 60-rod portage to Daniels Lake and a 665-rod portage to Rose Lake.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","20","Daniels Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","48.0630555556","-91.9294444444","No","Method of travel is paddle. Access Angleworm Lake with a 640 rod portage. Some trip options with additional portages. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","21","Angleworm Lake (op)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0425","-90.365","No","Method of travel is day use motor. 25 h.p. motor limit. No motors on Alder or Canoe Lakes. For more information, please contact the Gunflint Ranger Station in Grand Marais at 218-387-1750.","22","East Bearskin (dm)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Alpine Lakes","233273","2016-03-03 06:27:58","47.7109444444","-120.708055556","No","The Snow Zone includes the Snow Lakes and Nada Lake basin, and the Snow Creek drainage. A permit for this zone allows visitors to use any established campsite in the zones. The area is mostly forested, and can be more forgiving to campers during bad weather than the other permit zones, but still has great views of the rugged surrounding peaks. The trail climbs steadily for 6.5 miles from the Snow Lakes Trailhead, gaining 4100 feet en route to Upper Snow Lake. Beyond Snow Lakes, the trail becomes more primitive in character, ascending steeply over granite slabs another 1400 feet to Lake Viviane, which is within the Core Enchantment Permit Zone. Groups with a Snow Zone permit are welcome to day hike throughout the Core Enchantments, but must camp within the Snow Lake Zone, well below Lake Viviane.","23","Snow Zone","Entry Point - Zone 2",""
"2014-05-02 18:31:41","Tofte District","233396","2016-03-03 06:27:58","47.8118818333","-91.0853198333","No","Method of travel is paddle. Access is a 15-rod portage to Hog Creek leading into Perent Lake. For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","24","Hog Creek (op)","Entry Point","Isabella"
"2014-05-02 18:31:41","LaCroix District","233396","2016-03-03 06:27:58","48.2997222222","-92.4266666667","No","Method of travel is motor or paddle. Motor use OR possession requires an overnight motor permit (unlimited motor h.p.). Enter from Crane Lake. Must camp all nights on Lac LaCroix (day trips to other lakes are permitted). Use only after Entry Point 12 is full.","25","Lac LaCroix ONLY (op, om)","Entry Point-Restricted","Cook"
