ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,LASTUPDATEDDATE,POSTALCODE,RECAREAADDRESSID,RECAREAADDRESSTYPE,RECAREAID,RECAREASTREETADDRESS1,RECAREASTREETADDRESS2,RECAREASTREETADDRESS3
"USA","AK","Anchorage","2011-07-19","99507","582","","586","4700 BLM Road "," "," "
"USA","AZ","Yuma","2011-07-19","85636","585","","596","Yuma Field Office","2555 Gila Ridge Road",""
"USA","AZ","Lake Havasu City","2004-07-08","86406","586","","597","2610 Sweetwater Ave.","",""
"USA","CA","Bakersfield","2011-08-08","93308","587","","598","Bakersfield Field Office","3801 Pegasus Drive",""
"USA","AK","Fairbanks","2008-12-29","99709","588","","601","Bureau of Land Management   ","Fairbanks District Office","1150 University Avenue"
"USA","CA","Bakersfield","2011-08-08","93308","589","","605","Bakersfield Field Office","3801 Pegasus Drive",""
"USA","CA","El Dorado Hills","2011-08-09","95762","591","","608","Mother Lode Field Office","5152 Hillsdale Circle",""
"USA","CA","El Dorado Hills","2011-08-08","95762","592","","610","Mother Lode Field Office"," 5152 Hillsdale Circle"," "
"USA","CA","El Dorado Hills","2011-08-08","95762","593","","613","Mother Lode Field Office","5152 Hillsdale Circle",""
"USA","CA","Ridgecrest","2011-08-09","93555","595","","617","Ridgecrest Field Office","300 S. Richmond Rd."," "
"USA","CA","Ridgecrest ","2011-08-09","93555","596","","619","Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","AZ","Kingman","2011-07-19","86401","597","","621","Kingman Field Office","2755 Mission Boulevard",""
"USA","CO","Meeker","2011-07-27","81641","599","","708","White River Field Office","220 East Market St.",""
"USA","CA","El Dorado Hills","2011-08-08","95762","602","","980","Mother Lode Field Office","5152 Hillsdale Circle",""
"USA","OR","North Bend","2011-08-01","97459","604","","983","Coos Bay District ","1300 Airport Lane",""
"USA","OR","Prineville","2004-07-08","97754","645","","1107","3061 E. 3rd St.","",""
"USA","WA","Spokane","2011-07-27","99212","663","","1149","Spokane District Office ","1103 N Fancher Road ",""
"USA","OR","Medford","2011-08-01","97504","667","","1162","Medford District Office","3040 Biddle Road",""
"USA","CA","Palm Springs","2011-08-08","92262","672","","1173","Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CA","Barstow","2011-08-08","92311","674","","1179","Barstow Field Office"," 2601 Barstow Road"," "
"USA","NV","Carson City","2011-08-01","89701","679","","1198","Carson City District Office","5665 Morgan Mill Road",""
"USA","CA","Barstow","2011-08-08","92311","694","","1237","Barstow Field Office","2601 Barstow Road",""
"USA","OR","Lakeview","2011-08-01","97630","704","","1271","Lakeview District Office"," 301 South G Street"," "
"USA","MA","Sudbury","2007-03-06","01776","773","","1530","c/o Eastern MA NWR Complex","73 Weir Hill Road",""
"USA","WY","Jackson","2004-07-09","83001","774","","1532","P.O. Box 510","",""
"USA","WA","Olympia","2007-03-06","98516","775","","1538","100 Brown Farm Rd","",""
"USA","OK","Butler","2007-03-06","73625","777","","1545","Rt. 1 Box 68","",""
"USA","AR","Parkdale","2007-03-06","71661","778","","1549","3858 Hwy 8 E","",""
"USA","MO","Lawrence County","2007-03-06","","779","","1553","","",""
"USA","FL","Sanibel","2007-03-06","33957","781","","1567","1 Wildlife Drive","",""
"USA","ME","Rockport","2007-03-06","04856","782","","1571","PO Box 495","",""
"USA","WA","Ridgefield","2007-03-06","98642","784","","1581","301 N Third Ave","",""
"USA","CA","Willows","2007-03-06","95988","786","","1588","752 County Rd 99W","",""
"USA","OK","Jet","2007-03-06","73749","787","","1591","Route 1, Box 76","",""
"USA","TX","Angelton","2007-03-06","77515","788","","1593","1212 North Velasco","Suite 200",""
"USA","CA","Petaluma","2007-03-06","94954","789","","1597","7715 Lakeville hwy","",""
"USA","VI","Christiansted","2004-07-08","00820-4355","790","","1600","Federal Building, Suite 1673013 Estate Golden Rock","",""
"USA","MI","Seney","2007-03-06","49883","792","","1608","1674 Refuge Entrance Rd.","",""
"USA","OK","Vian","2007-03-06","74962","793","","1609","Route 1, Box 18A","",""
