FACILITYID,RECAREAID
"252494","10"
"250000","17"
"234072","25"
"234073","25"
"233598","27"
"233183","46"
"231884","122"
"231885","122"
"232190","122"
"232191","122"
"232192","122"
"232193","122"
"232195","122"
"232196","122"
"232197","122"
"232198","122"
"232200","122"
"232203","122"
"232204","122"
"232205","122"
"233953","122"
"234515","122"
"234708","122"
"241547","122"
"241548","122"
"241549","122"
"241550","122"
"241551","122"
"241552","122"
"241553","122"
"241554","122"
"241555","122"
"241556","122"
"241557","122"
"241558","122"
"241559","122"
"241560","122"
"241561","122"
"241562","122"
"241563","122"
"241564","122"
"241565","122"
"241566","122"
"241567","122"
"241568","122"
"241569","122"
"241570","122"
"241571","122"
"241574","122"
"241575","122"
"241576","122"
"241578","122"
"241579","122"
"241580","122"
"241581","122"
"241582","122"
"241583","122"
"241584","122"
"241585","122"
"241586","122"
"241587","122"
"241588","122"
"241589","122"
"241590","122"
"241591","122"
"241592","122"
"241593","122"
"241594","122"
"241595","122"
"241596","122"
"241597","122"
"241598","122"
"241599","122"
"241600","122"
"241601","122"
"241602","122"
"241603","122"
"241604","122"
"241605","122"
"241606","122"
"241607","122"
"241608","122"
"241609","122"
"241610","122"
"241611","122"
"241612","122"
"241613","122"
"241614","122"
"241615","122"
"241616","122"
"241617","122"
"241618","122"
"241619","122"
"241620","122"
"241621","122"
"241622","122"
"241623","122"
"241624","122"
"241625","122"
"241626","122"
"241627","122"
"241628","122"
"241629","122"
"241630","122"
"241631","122"
"241632","122"
"241633","122"
"241634","122"
"241635","122"
"241636","122"
"241637","122"
"241638","122"
"241639","122"
"241640","122"
"241641","122"
"241642","122"
"241643","122"
"241644","122"
"241645","122"
"241646","122"
"241647","122"
"241648","122"
"241649","122"
"241650","122"
"241651","122"
"241652","122"
"241653","122"
"241654","122"
"241655","122"
"241656","122"
"241657","122"
"241658","122"
"241659","122"
"241660","122"
"241661","122"
"241662","122"
"241663","122"
"241664","122"
"241665","122"
"241666","122"
"241667","122"
"241668","122"
"241669","122"
"241670","122"
"241671","122"
"241672","122"
"241673","122"
"241674","122"
"241675","122"
"241676","122"
"241677","122"
"241678","122"
"241679","122"
"241680","122"
"241681","122"
"241682","122"
"241683","122"
"241684","122"
"241685","122"
"241686","122"
"241687","122"
"241688","122"
"241689","122"
"241690","122"
"241691","122"
"241692","122"
"241693","122"
"241694","122"
"241695","122"
"241696","122"
"241697","122"
"241698","122"
"241699","122"
"241700","122"
"241701","122"
"241702","122"
"241703","122"
"241704","122"
"241705","122"
"241706","122"
"241707","122"
"241708","122"
"241709","122"
"241710","122"
"241711","122"
"241712","122"
"241713","122"
"241714","122"
"241715","122"
"241716","122"
"241717","122"
"241718","122"
"241719","122"
"241720","122"
"241721","122"
"241722","122"
"241723","122"
"241724","122"
"241725","122"
"241726","122"
"241727","122"
"241728","122"
"241729","122"
"241730","122"
"241731","122"
"241732","122"
"241733","122"
"241734","122"
"241735","122"
"241736","122"
"241737","122"
"241738","122"
"241739","122"
"241740","122"
"241741","122"
"241742","122"
"241743","122"
"241744","122"
"241745","122"
"241746","122"
"241747","122"
"241748","122"
"241749","122"
"241750","122"
"241751","122"
"241752","122"
"241753","122"
"241754","122"
"241755","122"
"241756","122"
"241757","122"
"241758","122"
"241759","122"
"241760","122"
"241761","122"
"241762","122"
"241763","122"
"241764","122"
"241765","122"
"241766","122"
"241767","122"
"241768","122"
"241769","122"
"241770","122"
"241771","122"
"241772","122"
"241773","122"
"241774","122"
"241775","122"
"241776","122"
"241777","122"
"241778","122"
"241779","122"
"241780","122"
"241781","122"
"241782","122"
"241783","122"
"250040","122"
"250772","122"
"250774","122"
"250775","122"
"249995","130"
"249996","130"
"249998","130"
"249999","130"
"250001","130"
"250002","130"
"248067","143"
"251682","143"
"251683","143"
"251684","143"
"251685","143"
"251686","143"
"251687","143"
"251688","143"
"251689","143"
"251690","143"
"251691","143"
"251692","143"
"251693","143"
"233492","146"
"233507","146"
"233684","146"
"248078","146"
"248079","146"
"233434","147"
"233473","147"
"233486","147"
"233526","147"
"233653","147"
"247848","147"
"247849","147"
"247850","147"
"247851","147"
"247852","147"
"247853","147"
"247854","147"
"247855","147"
"247856","147"
"247857","147"
"247858","147"
"247859","147"
"247860","147"
"247861","147"
"233415","149"
"233417","149"
"233446","149"
"233494","149"
"233520","149"
"233630","149"
"247816","149"
"247817","149"
"247818","149"
