CREATEDDATE,FACILITYID,LASTUPDATEDDATE,TOURACCESSIBLE,TOURDESCRIPTION,TOURDURATION,TOURID,TOURNAME,TOURTYPE
"2014-05-02 18:31:41","233362","2016-03-03 06:26:55","No","Meet a character from Mesa Verdes past! Join a knowledgeable ranger, in costume and portraying a notable figure from Mesa Verdes past, who will guide you through Cliff Palace as the sun begins to set below the mesa top. This is a unique opportunity to learn about North Americas largest cliff dwelling through the eyes of the people who found, stabilized, and preserved it in the late 1800s and early 1900s.  <br><br> The tour is available from May 25, 2015 to September 6, 2015 on Sundays, Mondays, Tuesdays, Wednesdays, and Thursdays.","90","1","Twilight Tour","Cliff Dwelling Tour"
"2014-05-02 18:31:41","234787","2016-03-03 06:26:55","No","Observe the summer solstice amid the ancient ruins of Chimney Rock mesa.  Attendees enter the National Monument in pre-dawn darkness and meet a volunteer program leader who will escort them to two special places on Chimney Rock mesa. ","120","2","Summer Solstice","Historic Tour"
"2014-05-02 18:31:41","234638","2016-03-03 06:26:55","No","Guided tour of the Home of Franklin D. Roosevelt and a self guide tour of the FDR Presidential  Museum.","0","3","FDR Home & Mus 1 ticket (up to 25), 2 ticket (25-50)","Combo Tour"
"2014-05-02 18:31:41","233362","2016-03-03 06:26:55","No","Photographers, and those who would like to visit the famous Cliff Palace through the historical photographers lens, take this opportunity to spend 90 minutes in Cliff Palace with a park ranger in a small group setting.  On this evening tour, dramatic sunset lighting will appeal to photographers as well as those seeking a deeper connection with this extraordinary archeological treasure. Tripods and all kinds of cameras are welcome. BUT YOU MUST BE ABLE TO CARRY ALL OF YOUR GEAR WHILE KEEPING YOUR HANDS FREE TO CLIMB LADDERS. <br><br>The tour is available daily from May 27th, 2016 to September 5, 2016. Meet the ranger on the overlook above Cliff Palace at least 15 minutes in advance of the tour. Drive time to the Cliff Palace overlook from the park entrance is approximately one hour.","90","4","Twilight Photography Tour","Cliff Dwelling Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","Child Annual Pass","0","5","Child Annual Pass","Pass"
"2014-05-02 18:31:41","233362","2016-03-03 06:26:55","No","Yucca House National Monument is located 8 miles south of Cortez, Colorado. The large, unexcavated pueblo was probably built around AD 1200. The massive building and central location in the Montezuma Valley suggest that it was an important village. Yucca House has limited on-site parking, so tour participants will meet at the Colorado Welcome Center in Cortez and carpool to the site. A brief orientation will precede the tour. Meet the ranger at 8:00 am at the Colorado Welcome Center at 928 E. Main, Cortez, Colorado (on the corner of Mildred and Main.)<br><br>The Yucca House tour is available on Saturday May 14th, 2016 and Saturday September 10th, 2016.","180","6","Yucca House","Historic Tour"
"2014-05-02 18:31:41","233374","2016-03-03 06:26:55","Yes","Large Vehicle Parking Pass","240","7","Large Vehicle Parking Pass","Nature Tour"
"2014-05-02 18:31:41","233374","2016-03-03 06:26:55","Yes","Day Before Car Parking Pass","240","8","Day Before Parking Pass","Nature Tour"
"2014-05-02 18:31:41","233374","2016-03-03 06:26:55","Yes","Advance Parking Pass for the Firefly Event","240","9","Advance Parking Pass","Nature Tour"
"2014-05-02 18:31:41","233405","2016-03-03 06:26:55","No","Board the Borealis tour boat and cruise to historic Hoist Bay in Namakan Lake while searching for active bald eagle nests and other wildlife. Walk with a ranger for a 1/4 mile (not accessible) through the remains of an old logging camp turned resort.","150","10","Hoist Bay Tour and Eagle Watch","Boat Tour"
"2014-05-02 18:31:41","233405","2016-03-03 06:26:55","No","Voyage to the Historic Kettle Falls Hotel.  This tour takes you on a cultural and natural history tour of the park.  Spend 2 hours aboard the Borealis Tour Boat getting to the hotel. Once at the hotel spend 2 hours on land dining and touring the site and dam.  Then spend 1.5 hours on your return route.","330","11","Kettle Falls Cruise (Kabetogama Lake)","Boat Tour"
"2014-05-02 18:31:41","233405","2016-03-03 06:26:55","No","Board the Borealis and cruise Kabetogama Lake in search of active eagle nests and other wildlife. At the gardens, join a ranger for a 1/4 mile tour (not accessible) of the unique rock sculptures, building remnants, and winding paths.","120","12","Ellsworth Rock Gardens Tour and Eagle Watch","Boat Tour"
"2014-05-02 18:31:41","233405","2016-03-03 06:26:55","Yes","Uncover the truth about the 1890s Rainy Lake gold rush. View the remains of the Bushyhead mine entrance from the boat, then stretch your legs with a ranger for a short walk (accessible 1/4 mile) around Little American Island, the most productive area mine.","90","13","Gold Mine Tour","Boat Tour"
